ID_CUENTA | ID_CLIENTE |     SALDO     | TIPO_CUENTA
-----------------------------------------------------
251       |    101     |   3,820.40    | Ahorro
252       |    102     |   5,910.60    | Corriente
253       |    103     |   2,405.75    | Ahorro
254       |    104     |   6,712.80    | Corriente
255       |    105     |   4,183.25    | Ahorro
256       |    106     |   8,915.90    | Corriente
257       |    107     |   1,732.60    | Ahorro
258       |    108     |   3,804.50    | Corriente
259       |    109     |   2,116.40    | Ahorro
260       |    110     |   6,537.80    | Corriente
261       |    111     |   7,008.10    | Ahorro
262       |    112     |   4,289.30    | Corriente
263       |    113     |   3,514.70    | Ahorro
264       |    114     |   5,127.40    | Corriente
265 | 115 | 8201.94 | Ahorro
266       |    116     |   2,709.60    | Corriente
267       |    117     |   9,083.90    | Ahorro
268       |    118     |   1,924.50    | Corriente
269       |    119     |   3,650.80    | Ahorro
270       |    120     |   4,893.70    | Corriente
271       |    121     |   2,417.90    | Ahorro
272       |    122     |   7,601.20    | Corriente
273       |    123     |   1,305.60    | Ahorro
274       |    124     |   5,490.10    | Corriente
275       |    125     |   3,789.80    | Ahorro
276       |    126     |   6,201.90    | Corriente
277       |    127     |   2,033.00    | Ahorro
278       |    128     |   4,825.70    | Corriente
279       |    129     |   5,680.40    | Ahorro
280       |    130     |   8,090.60    | Corriente
281       |    131     |   2,430.10    | Ahorro
282       |    132     |   4,974.90    | Corriente
283       |    133     |   7,342.40    | Ahorro
284       |    134     |   3,816.60    | Corriente
285       |    135     |   2,687.30    | Ahorro
286       |    136     |   5,506.20    | Corriente
287       |    137     |   3,850.80    | Ahorro
288       |    138     |   6,804.90    | Corriente
289       |    139     |   8,099.60    | Ahorro
290       |    140     |   4,229.10    | Corriente
291       |    141     |   7,453.30    | Ahorro
292       |    142     |   1,672.20    | Corriente
293       |    143     |   6,048.70    | Ahorro
294       |    144     |   5,612.40    | Corriente
295       |    145     |   4,937.50    | Ahorro
296       |    146     |   2,821.70    | Corriente
297       |    147     |   9,240.10    | Ahorro
298       |    148     |   6,311.90    | Corriente
299       |    149     |   3,658.60    | Ahorro
300       |    150     |   7,874.00    | Corriente
