ID_TRANSACC | ID_ORIG | ID_DEST | MONTO  | FECHA_HORA         | ESTADO
----------------------------------------------------------------------------1          | 223     | 103     | 478.16  | 2025-05-14 15:00:04 | Confirmada
2          | 203     | 223     | 203.38  | 2025-05-14 15:00:04 | Confirmada
3          | 104     | 223     | 243.19  | 2025-05-14 15:00:04 | Confirmada
4          | 102     | 203     | 426.19  | 2025-05-14 15:00:04 | Confirmada
5          | 265     | 104     | 204.88  | 2025-05-14 15:00:05 | Confirmada
6          | 125     | 202     | 447.77  | 2025-05-14 15:00:05 | Confirmada
7          | 101     | 203     | 415.47  | 2025-05-14 15:00:05 | Confirmada
8          | 244     | 202     | 245.81  | 2025-05-14 15:00:05 | Confirmada
9          | 103     | 244     | 82.42   | 2025-05-14 15:00:05 | Confirmada
10         | 223     | 125     | 163.51  | 2025-05-14 15:00:05 | Confirmada
11         | 202     | 203     | 307.89  | 2025-05-14 15:00:05 | Confirmada
12         | 105     | 202     | 78.76   | 2025-05-14 15:00:05 | Confirmada
13         | 125     | 101     | 284.99  | 2025-05-14 15:00:05 | Confirmada
14         | 202     | 164     | 172.29  | 2025-05-14 15:00:05 | Pendiente
15         | 202     | 265     | 70.42   | 2025-05-14 15:00:06 | Confirmada
16         | 125     | 265     | 401.60  | 2025-05-14 15:00:06 | Confirmada
17         | 202     | 223     | 86.43   | 2025-05-14 15:00:06 | Confirmada
18         | 103     | 104     | 137.46  | 2025-05-14 15:00:06 | Confirmada
19         | 202     | 103     | 91.09   | 2025-05-14 15:00:06 | Confirmada
20         | 265     | 104     | 101.82  | 2025-05-14 15:00:06 | Confirmada
21         | 102     | 103     | 373.09  | 2025-05-14 15:00:06 | Confirmada
22         | 164     | 104     | 492.72  | 2025-05-14 15:00:06 | Pendiente
23         | 265     | 101     | 439.51  | 2025-05-14 15:00:06 | Confirmada
24         | 164     | 103     | 299.71  | 2025-05-14 15:00:07 | Pendiente
25         | 104     | 102     | 88.23   | 2025-05-14 15:00:07 | Confirmada
26         | 103     | 244     | 307.50  | 2025-05-14 15:00:07 | Confirmada
27         | 223     | 202     | 52.04   | 2025-05-14 15:00:07 | Confirmada
28         | 223     | 125     | 173.97  | 2025-05-14 15:00:07 | Confirmada
29         | 202     | 103     | 81.37   | 2025-05-14 15:00:07 | Confirmada
30         | 202     | 102     | 295.26  | 2025-05-14 15:00:07 | Confirmada
31         | 244     | 164     | 85.98   | 2025-05-14 15:00:07 | Pendiente
32         | 202     | 101     | 178.67  | 2025-05-14 15:00:07 | Confirmada
33         | 244     | 202     | 21.85   | 2025-05-14 15:00:07 | Confirmada
34         | 125     | 104     | 149.07  | 2025-05-14 15:00:08 | Confirmada
35         | 102     | 244     | 162.02  | 2025-05-14 15:00:08 | Confirmada
36         | 202     | 104     | 164.74  | 2025-05-14 15:00:08 | Confirmada
37         | 265     | 202     | 207.02  | 2025-05-14 15:00:08 | Confirmada
38         | 203     | 202     | 454.24  | 2025-05-14 15:00:08 | Confirmada
39         | 101     | 223     | 146.36  | 2025-05-14 15:00:08 | Confirmada
40         | 103     | 202     | 417.70  | 2025-05-14 15:00:08 | Confirmada
41         | 164     | 104     | 127.28  | 2025-05-14 15:00:08 | Pendiente
42         | 203     | 102     | 59.20   | 2025-05-14 15:00:08 | Confirmada
43         | 244     | 203     | 131.97  | 2025-05-14 15:00:08 | Confirmada
44         | 102     | 265     | 191.02  | 2025-05-14 15:00:09 | Confirmada
45         | 203     | 265     | 402.13  | 2025-05-14 15:00:09 | Confirmada
46         | 104     | 244     | 459.33  | 2025-05-14 15:00:09 | Confirmada
47         | 102     | 202     | 85.81   | 2025-05-14 15:00:09 | Confirmada
48         | 223     | 101     | 221.15  | 2025-05-14 15:00:09 | Confirmada
49         | 104     | 203     | 88.33   | 2025-05-14 15:00:09 | Confirmada
50         | 125     | 164     | 323.43  | 2025-05-14 15:00:09 | Pendiente
51         | 202     | 104     | 487.56  | 2025-05-14 15:00:09 | Confirmada
52         | 223     | 202     | 477.14  | 2025-05-14 15:00:09 | Confirmada
53         | 101     | 223     | 243.26  | 2025-05-14 15:00:09 | Confirmada
54         | 125     | 223     | 230.09  | 2025-05-14 15:00:10 | Confirmada
55         | 164     | 202     | 169.14  | 2025-05-14 15:00:10 | Pendiente
56         | 203     | 104     | 11.72   | 2025-05-14 15:00:10 | Confirmada
57         | 101     | 104     | 387.02  | 2025-05-14 15:00:10 | Confirmada
58         | 203     | 105     | 90.06   | 2025-05-14 15:00:10 | Confirmada
59         | 105     | 202     | 388.58  | 2025-05-14 15:00:10 | Confirmada
60         | 102     | 105     | 159.42  | 2025-05-14 15:00:10 | Confirmada
61         | 203     | 105     | 405.28  | 2025-05-14 15:00:10 | Confirmada
62         | 125     | 164     | 56.89   | 2025-05-14 15:00:10 | Pendiente
63         | 265     | 203     | 32.64   | 2025-05-14 15:00:10 | Confirmada
64         | 105     | 164     | 46.14   | 2025-05-14 15:00:11 | Pendiente
65         | 265     | 202     | 318.81  | 2025-05-14 15:00:11 | Confirmada
66         | 202     | 102     | 269.45  | 2025-05-14 15:00:11 | Confirmada
