ID_CUENTA | ID_CLIENTE | SALDO    | TIPO_CUENTA
---------------------------------------------------
101       | 1          | 1500.00  | Ahorros
102       | 2          | 3200.50  | Corriente
103       | 3          | 8900.75  | Corriente
104       | 4          | 2430.10  | Ahorros
105       | 5          | 6780.00  | Ahorros
106       | 6          | 5123.90  | Corriente
107       | 7          | 3050.40  | Ahorros
108       | 8          | 7600.00  | Corriente
109       | 9          | 900.25   | Ahorros
110       | 10         | 4300.60  | Ahorros
111       | 11         | 2500.00  | Corriente
112       | 12         | 7999.99  | Ahorros
113       | 13         | 1000.50  | Corriente
114       | 14         | 9200.80  | Corriente
115       | 15         | 1350.75  | Ahorros
116       | 16         | 4700.00  | Corriente
117       | 17         | 6035.10  | Ahorros
118       | 18         | 8150.35  | Corriente
119       | 19         | 725.00   | Ahorros
120       | 20         | 9990.00  | Ahorros
121       | 21         | 1300.00  | Corriente
122       | 22         | 2300.20  | Ahorros
123       | 23         | 6450.40  | Corriente
124       | 24         | 3250.00  | Corriente
125       | 25         | 8750.75  | Ahorros
126       | 26         | 550.00   | Ahorros
127       | 27         | 4830.90  | Corriente
128       | 28         | 7699.20  | Ahorros
129       | 29         | 1700.00  | Corriente
130       | 30         | 3100.60  | Ahorros
131       | 31         | 6500.00  | Corriente
132       | 32         | 2200.10  | Ahorros
133       | 33         | 9400.00  | Corriente
134       | 34         | 7300.00  | Ahorros
135       | 35         | 1999.99  | Corriente
136       | 36         | 8600.75  | Ahorros
137       | 37         | 2800.00  | Corriente
138       | 38         | 5000.00  | Ahorros
139       | 39         | 3333.33  | Corriente
140       | 40         | 4550.00  | Ahorros
141       | 41         | 6030.10  | Corriente
142       | 42         | 7200.80  | Ahorros
143       | 43         | 8450.00  | Corriente
144       | 44         | 9150.55  | Ahorros
145       | 45         | 7600.00  | Corriente
146       | 46         | 8150.30  | Ahorros
147       | 47         | 1600.60  | Corriente
148       | 48         | 2900.90  | Ahorros
149       | 49         | 4350.00  | Corriente
150       | 50         | 9999.99  | Ahorros
